ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,CustomerPO,InvoiceDate,,,,,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
DC244376,DC201207,JAMIE,INV,1/28/25,1/28/25,96.88,104.73,96.88,7.85,0,0,1/28/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/28/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,3.82,,P,0,No Preferred Carrier,1,SDC-201-0001,SW-10-530,HEAVY DUTY LEAF CANISTER,JAMIE,1/28/25,Billable,Jun,,,EA,77.45,77.45,DC244376,2,0,1,3.5,214,PRIORITY PICK,
DC244376,DC201207,JAMIE,INV,1/28/25,1/28/25,96.88,104.73,96.88,7.85,0,0,1/28/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/28/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,3.82,,P,0,No Preferred Carrier,1,PAC-101-7230,355667Z SUPERFLO/ OPTIFLO/,PINNACLE STRAINER BASKET,JAMIE,1/28/25,Billable,Moles,bill,,EA,19.43,19.43,DC244376,3,0,1,0.32,214,PRIORITY PICK,
P5519010,P5446986,JERAMIAH,INV,1/21/25,1/21/25,158.61,0,158.61,13.16,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,37.35,,P,0,,1,SPG-051-0130,FC-9530 8/BX 36SQF,UNIVERSAL DE GRID SET,JERAMIAH,1/21/25,Billable,Imburgia,,,BOX,143.32,143.32,P5519010,1,0,1,13.95,537A,PRIORITY PICK,
DC243250,DC200368,JEREMIAH,INV,1/8/25,1/8/25,33.48,36.19,33.48,2.71,0,0,1/8/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/8/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,0.4,,P,0,No Preferred Carrier,1,SPG-101-2725,12725 50MFD 370V,ROUND RUN CAPACITOR,JEREMIAH,1/8/25,Billable,Capriotti,return,,EA,33.48,33.48,DC243250,1,0,1,0.4,214,PRIORITY PICK,
81305141,81346365,JEREMIAH,INV,1/29/25,1/29/25,177.26,0,177.26,14.71,0,0,1/29/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/29/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,1.3,,P,0,,1,PVN-201-1105,PVGXH808KIT 4X LOWER BODY,CONVERSION KIT,JEREMIAH,1/29/25,Billable,FALLAH,,,EA,177.26,177.26,81305141,1,0,1,1.3,81,PRIORITY PICK,
P5519670,P5447442,JEREMIAH,INV,1/27/25,1/27/25,818.8,0,818.8,67.96,0,0,1/27/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/27/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,16,663.88,,P,0,,1,SPG-051-0131,FC-9540 8/BX 48SQF,UNIVERSAL DE GRID SET,JEREMIAH,1/27/25,Billable,Larusso,,,BOX,176.96,176.96,P5519670,5,0,1,19.05,537A,PRIORITY PICK,
P5519824,P5447567,JEREMIAH,INV,1/28/25,1/28/25,109.28,118.35,109.28,9.07,0,0,1/28/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/28/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,1.95,,P,0,No Preferred Carrier,1,SPG-57-1001,WPLT05-63-SP .5&quot;x6' NM,#12 SOLID 3-WIRE WHIP KIT,JEREMIAH,1/28/25,Billable,Palacio,bill,,EA,21.24,21.24,P5519824,1,0,1,1.6,537A,PRIORITY PICK,
ND383549,ND314245,JEREMIAH,INV,1/21/25,1/21/25,275.79,0,275.79,22.89,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,36.3,,P,0,,1,MGT-60-5186,B2841V1 1HP 115/208-230V EE,56Y ODP SQFL MOTOR,JEREMIAH,1/21/25,Billable,Palacio,,,EA,244.73,244.73,ND383549,1,0,1,30,512A,PRIORITY PICK,13624J2ML000004606
P5519670,P5447442,JEREMIAH,INV,1/27/25,1/27/25,818.8,0,818.8,67.96,0,0,1/27/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/27/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,16,663.88,,P,0,,1,PUR-101-6198,356198 WHISPERFLO/ INTELLIFLO,CHEM/SALT/O3 RESIST SEAL SET,JEREMIAH,1/27/25,Billable,Palacio,,,EA,30.31,30.31,P5519670,3,0,1,0.5,537A,PRIORITY PICK,
P5519824,P5447567,JEREMIAH,INV,1/28/25,1/28/25,109.28,118.35,109.28,9.07,0,0,1/28/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/28/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,1.95,,P,0,No Preferred Carrier,1,COM-30-6326,520106 3HP INTELLITOUCH,RELAY,JEREMIAH,1/28/25,Billable,Palacio,,,EA,88.04,88.04,P5519824,2,0,1,0.35,537A,PRIORITY PICK,
DC243861,DC200819,JEREMIAH,INV,1/17/25,1/17/25,147.67,0,147.67,11.96,0,0,1/17/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/17/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,8,358.5,,P,0,,7,AAA-06-200,AAA-200 50# #20 SAND,POOL FILTER SAND,JEREMIAH,1/17/25,Billable,Pecot,,,EA,8.97,62.79,DC243861,2,0,7,357,214,PRIORITY PICK,
DC244185,DC201069,JEREMIAH,INV,1/23/25,1/23/25,29.09,31.44,29.09,2.35,0,0,1/23/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/23/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,0,3.25,,P,0,No Preferred Carrier,1,PAC-06-3064,263064 2&quot;S PVC,SLIDE VALVE,JEREMIAH,1/23/25,Billable,Pecot,,,EA,113.97,113.97,DC244185,2,0,1,4.75,214,PRIORITY PICK,
DC243861,DC200819,JEREMIAH,INV,1/17/25,1/17/25,147.67,0,147.67,11.96,0,0,1/17/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/17/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,8,358.5,,P,0,,1,PAC-061-1082,273241Z 2&quot;S PVC SLIDE VALVE,PISTON ASSY,JEREMIAH,1/17/25,Billable,Refund,,,EA,84.88,84.88,DC243861,1,0,1,1.5,214,PRIORITY PICK,
DC244185,DC201069,JEREMIAH,INV,1/23/25,1/23/25,29.09,31.44,29.09,2.35,0,0,1/23/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/23/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,0,3.25,,P,0,No Preferred Carrier,-1,PAC-061-1082,273241Z 2&quot;S PVC SLIDE VALVE,PISTON ASSY,JEREMIAH,1/23/25,Billable,Refund,,,EA,84.88,-84.88,DC244185,1,0,-1,-1.5,214,PRIORITY PICK,
DC243763,DC200747,JEREMIAH,INV,1/16/25,1/16/25,211.06,0,211.06,17.1,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,55.3,,P,0,,1,USS-60-5021,PS200 5/8&quot;,GENERAL SERVICE SEAL ASSY,JEREMIAH,1/16/25,Billable,Soldo,,,EA,6.12,6.12,DC243763,3,0,1,0.1,214,PRIORITY PICK,
P5519670,P5447442,JEREMIAH,INV,1/27/25,1/27/25,818.8,0,818.8,67.96,0,0,1/27/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/27/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,16,663.88,,P,0,,1,AOS-60-5060,SQ1152 1.5HP 230V EE 48Y,ODP SQFL MOTOR,JEREMIAH,1/27/25,Billable,Soldo,,,EA,283.02,283.02,P5519670,2,0,1,29.25,537A,PRIORITY PICK,13324THAL0001303
P5519670,P5447442,JEREMIAH,INV,1/27/25,1/27/25,818.8,0,818.8,67.96,0,0,1/27/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/27/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,16,663.88,,P,0,,12,AAA-06-200,AAA-200 50# #20 SAND,POOL FILTER SAND,JEREMIAH,1/27/25,Billable,Stacy,,,EA,8.97,107.64,P5519670,1,0,12,612,537A,PRIORITY PICK,
P5519670,P5447442,JEREMIAH,INV,1/27/25,1/27/25,818.8,0,818.8,67.96,0,0,1/27/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/27/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,16,663.88,,P,0,,1,PAC-051-2821,154856Z 8.5&quot; TRITON II BUTTRESS,THREAD CLOSURE KIT,JEREMIAH,1/27/25,Billable,Stacy,,,EA,220.87,220.87,P5519670,4,0,1,3.08,537A,PRIORITY PICK,
ND383549,ND314245,JEREMIAH,INV,1/21/25,1/21/25,275.79,0,275.79,22.89,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,36.3,,P,0,,1,SPG-601-6094,GO-KIT80V-9 VITON HAYWARD,TRISTAR PUMP SEAL KIT,JEREMIAH,1/21/25,Billable,,,,EA,25.4,25.4,ND383549,2,0,1,0.3,512A,PRIORITY PICK,
ND385197,ND315622,PERISHER,INV,1/30/25,1/30/25,14.6,15.81,14.6,1.21,0,0,1/30/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/30/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,1,,P,0,No Preferred Carrier,1,SPG-051-0121,FC-9430 10/CS 36SQF PARTIAL,UNIVERSAL DE FILTER GRID,PERISHER,1/30/25,Billable,parasher,,,EA,14.6,14.6,ND385197,1,0,1,1,512A,PRIORITY PICK,
DC243582,DC200618,PHIL,INV,1/14/25,1/14/25,69.55,75.18,69.55,5.63,0,0,1/14/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/14/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,0.1,,P,0,No Preferred Carrier,1,CTM-061-2768,25357-273-564 CLEAR MANUAL,AIR RELIEF VALVE W/ GAUGE,PHIL,1/14/25,Billable,Skromme,,,EA,69.55,69.55,DC243582,1,0,1,0.1,214,PRIORITY PICK,
P5518199,P5446329,SANDY,INV,1/14/25,1/14/25,83.41,90.33,83.41,6.92,0,0,1/14/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/14/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,1.54,,P,0,No Preferred Carrier,1,AVR-251-1000,BHD009 ARG,HD BASKET SKIMMER H STYLE,SANDY,1/14/25,Billable,Coello,,,EA,24.05,24.05,P5518199,2,0,1,1,537A,PRIORITY PICK,
P5518199,P5446329,SANDY,INV,1/14/25,1/14/25,83.41,90.33,83.41,6.92,0,0,1/14/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/14/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,1.54,,P,0,No Preferred Carrier,1,SPG-601-0199,B-199 WHISPERFLO,STRAINER BASKET,SANDY,1/14/25,Billable,Coello,,,EA,14.42,14.42,P5518199,3,0,1,0.2,537A,PRIORITY PICK,
P5519032,P5446999,SANDY,INV,1/21/25,1/21/25,57.08,0,57.08,4.74,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,24.2,,P,0,,1,BWN-561-1000,200922 FLUIDMASTER,AUTOFILL FLOAT VALVE,SANDY,1/21/25,Billable,Duke,,,EA,17.27,17.27,P5519032,1,0,1,0.55,537A,PRIORITY PICK,
P5518199,P5446329,SANDY,INV,1/14/25,1/14/25,83.41,90.33,83.41,6.92,0,0,1/14/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/14/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,1.54,,P,0,No Preferred Carrier,1,SPG-561-1000,25504-000-100 3/8&quot;MPT PLASTIC,AUTOFILL FLOAT VALVE,SANDY,1/14/25,Billable,Gopal,,,EA,12.19,12.19,P5518199,1,0,1,0.14,537A,PRIORITY PICK,
P5518199,P5446329,SANDY,INV,1/14/25,1/14/25,83.41,90.33,83.41,6.92,0,0,1/14/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/14/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,1.54,,P,0,No Preferred Carrier,1,HAY-20-517,W400BWHP 1.5&quot; MPT WHITE,VAC LOCK SAFETY FITTING,SANDY,1/14/25,Billable,Gopal,,,EA,32.75,32.75,P5518199,4,0,1,0.2,537A,PRIORITY PICK,
P5517541,P5445780,SANDY,INV,1/7/25,1/7/25,24.52,26.56,24.52,2.04,0,0,1/7/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/7/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,0.25,,P,0,No Preferred Carrier,1,ARN-201-2081,V094P SUCTION CLEANER,INLINE FLOW REGULATOR VALVE,SANDY,1/7/25,Billable,hawkins,,,EA,24.52,24.52,P5517541,1,0,1,0.25,537A,PRIORITY PICK,
P5519032,P5446999,SANDY,INV,1/21/25,1/21/25,57.08,0,57.08,4.74,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,24.2,,P,0,,1,ARN-201-2081,V094P SUCTION CLEANER,INLINE FLOW REGULATOR VALVE,SANDY,1/21/25,Billable,soldo,,,EA,24.52,24.52,P5519032,4,0,1,0.25,537A,PRIORITY PICK,
P5517644,P5445873,SANDY,INV,1/7/25,1/7/25,57.84,0,57.84,4.8,0,0,1/7/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/7/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,0.75,,P,0,,1,SPG-251-2002,925 8&quot; SPRING LOADED,SKIMMER WEIR,SANDY,1/7/25,Billable,Tacey,,,EA,9.54,9.54,P5517644,1,0,1,0.45,537A,PRIORITY PICK,
SD025154,SD023548,SANDY,INV,1/23/25,1/23/25,16.27,17.62,16.27,1.35,0,0,1/23/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/23/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,0.05,,P,0,No Preferred Carrier,1,ARN-201-2311,AXV414P 4/PK NAVIGATOR,CONCRETE POD SHOE,SANDY,1/23/25,Billable,,,,PK,16.27,16.27,SD025154,1,0,1,0.05,644,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,JDY-56-4053,4715 12/CS 1.5&quot;-2&quot; 3-PORT,CPVC NEVERLUBE VALVE,SHAWN,1/31/25,Billable,Balling,,,EA,76.12,76.12,ND385313,8,0,1,1.5,512A,PRIORITY PICK,
P5518794,P5446814,SHAWN,INV,1/20/25,1/20/25,312.34,0,312.34,25.92,0,0,1/20/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/20/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,6.53,,P,0,,1,SPG-601-1261,O-515KIT-9 JANDY,DIVERTER VALVE ORING KIT,SHAWN,1/20/25,Billable,Balling,,,EA,4.09,4.09,P5518794,1,0,1,0.05,537A,PRIORITY PICK,
P5518794,P5446814,SHAWN,INV,1/20/25,1/20/25,312.34,0,312.34,25.92,0,0,1/20/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/20/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,6.53,,P,0,,1,PMT-201-600,005-302-4300-03 WATER VALVE,TOP DOME ASSY,SHAWN,1/20/25,Billable,Balling,,,EA,131.59,131.59,P5518794,4,0,1,1.8,537A,PRIORITY PICK,
ND383345,ND314082,SHAWN,INV,1/20/25,1/20/25,63.44,0,63.44,5.27,0,0,1/20/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/20/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,0.37,,P,0,,1,PMT-201-794,005-302-4030-03 1.5&quot; 6-PORT,WATER VALVE BASE,SHAWN,1/20/25,Billable,Balling,,,EA,178.47,178.47,ND383345,2,0,1,2.15,512A,PRIORITY PICK,
ND383345,ND314082,SHAWN,INV,1/20/25,1/20/25,63.44,0,63.44,5.27,0,0,1/20/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/20/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,0.37,,P,0,,1,PMT-201-602,005-302-0100-00,WATER VALVE BASE ORING,SHAWN,1/20/25,Billable,Balling,,,EA,11.8,11.8,ND383345,4,0,1,0.02,512A,PRIORITY PICK,
ND382292,ND313152,SHAWN,INV,1/13/25,1/13/25,1725.73,0,1725.73,143.24,0,0,1/13/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/13/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,67,80.7,,P,0,,1,PUR-10-1075,011075 3HP 208-230V,INTELLIFLO3 VSF,SHAWN,1/13/25,Billable,Bharani,,,EA,1545.43,1545.43,ND382292,1,0,1,53.5,512A,PRIORITY PICK,0332164240278E
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,MGT-60-5350,B2842 1.5HP 208-230V EE 56Y,ODP SQFL MOTOR,SHAWN,1/31/25,Billable,Jun,,,EA,310.28,310.28,ND385313,1,0,1,35.5,512A,PRIORITY PICK,28324CHCL010269043
ND382879,ND313670,SHAWN,INV,1/16/25,1/16/25,309.79,0,309.79,25.71,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,20.6,,P,0,,1,SPG-051-2501,ULTRA-A1-M-Q4 XTREME BLUE HAY,CART F/ C4025/ C4030,SHAWN,1/16/25,Billable,Latif,,,PK,309.79,309.79,ND382879,2,0,1,20.6,512A,PRIORITY PICK,
